name,team,throws,tags,projected_ip,projected_hits,projected_hr,projected_bb,projected_er,projected_outs
Kumar Rocker,TEX,R,Reliable SP|Hitter's Park,5.5,5.51,1.06,2.13,2.84,16.5
Michael Wacha,KC,R,Reliable SP|Hitter's Park,5.9,5.43,0.79,1.69,2.50,17.7
